id,college_id,college,age,preferred_pronouns
7887002350268993,68,Saybrook College,18,they/them
5595260079003541,17,Davenport College,18,he/him
3852192048600165,62,Silliman College,18,he/him
9396492432433212,46,Morse College,18,they/them
0089716115265150,7,Berkeley College,18,he/him
6281589210270275,70,Trumbull College,18,he/him
4740107484100347,31,Jonathan Edwards College,18,she/her
4211396710885902,68,Saybrook College,18,she/her
5983439977124459,26,Grace Hopper College,18,ze/zir
0798949616530497,68,Saybrook College,18,she/her
9550196909578246,10,Branford College,18,she/her
2886562881349379,51,Pierson College,18,he/him
2658165274380402,17,Davenport College,18,he/him
4915087664072961,6,Benjamin Franklin College,18,he/him
9483810140540300,7,Berkeley College,18,she/her
9517699456813741,46,Morse College,18,he/him
7043796371141501,70,Trumbull College,18,she/her
8740566018382157,7,Berkeley College,18,she/her
6256820775568963,22,Ezra Stiles College,18,he/him
3221767349689372,51,Pierson College,18,he/him
2727177539776125,70,Trumbull College,18,he/him
7010191400399925,10,Branford College,18,she/her
5485661732188686,26,Grace Hopper College,18,she/her
0769205951981487,51,Pierson College,18,she/her
7620253730658569,49,Pauli Murray College,18,she/her
0827059938415125,49,Pauli Murray College,18,she/her
4958409294276121,7,Berkeley College,18,she/her
9144331983184677,26,Grace Hopper College,18,he/him
9779223093706573,62,Silliman College,18,he/him
6977426843775125,22,Ezra Stiles College,18,he/him
5982137231690302,6,Benjamin Franklin College,18,he/him
8985529440071790,17,Davenport College,18,he/him
2932863714015362,71,Timothy Dwight College,18,he/him
7500099671188065,49,Pauli Murray College,18,she/her
7434776980512600,6,Benjamin Franklin College,18,she/her
0172880471187378,71,Timothy Dwight College,18,he/him
1242138677445048,46,Morse College,18,he/him
7139127974402888,49,Pauli Murray College,18,he/him
1707953667183250,49,Pauli Murray College,18,she/her
0858218028840312,71,Timothy Dwight College,18,she/her
9759108743419603,10,Branford College,18,he/him
4598919514787619,31,Jonathan Edwards College,18,he/him
3050832186060061,31,Jonathan Edwards College,18,he/him
3080960468967684,51,Pierson College,18,he/him
1201241239411867,49,Pauli Murray College,18,she/her
7103989674767060,22,Ezra Stiles College,18,she/her
1459881470547306,31,Jonathan Edwards College,18,he/him
5696546132366622,6,Benjamin Franklin College,18,she/her
6506346364014813,31,Jonathan Edwards College,18,she/her
5334904982242061,22,Ezra Stiles College,18,they/them
7382573482984160,68,Saybrook College,18,she/her
9390024594429513,10,Branford College,18,she/her
7275160531921725,62,Silliman College,18,he/him
4054206349841551,71,Timothy Dwight College,18,she/her
2071413481686877,17,Davenport College,18,he/him
4566499565164888,62,Silliman College,18,she/her
6406767191183242,7,Berkeley College,18,he/him
8570595615694509,6,Benjamin Franklin College,18,he/him
5637877820025730,31,Jonathan Edwards College,18,she/her
5177129766665815,70,Trumbull College,18,she/her
6287740907692401,22,Ezra Stiles College,18,she/her
5097305167983283,68,Saybrook College,18,he/him
1606959283376950,71,Timothy Dwight College,18,he/him
6917915321462001,6,Benjamin Franklin College,18,he/him
1021409073037140,17,Davenport College,18,she/her
4562394283483052,51,Pierson College,18,she/her
2785936821060194,7,Berkeley College,18,he/him
6467468903124725,51,Pierson College,18,she/her
2722460370092671,22,Ezra Stiles College,18,she/her
6527288415540440,31,Jonathan Edwards College,18,he/him
2630451199020045,62,Silliman College,18,she/her
8858692507171698,46,Morse College,18,he/him
4248704365378189,62,Silliman College,18,she/her
2223001495998257,10,Branford College,18,he/him
9565647189249389,46,Morse College,18,he/him
7936016724468054,70,Trumbull College,18,she/her
1614977213818039,31,Jonathan Edwards College,18,he/him
8643293550364241,31,Jonathan Edwards College,18,he/him
3005828931683045,62,Silliman College,18,he/him
7487406640732886,31,Jonathan Edwards College,18,she/her
9977246803656347,46,Morse College,18,he/him
7034058033453423,71,Timothy Dwight College,18,she/her
1212083022344485,6,Benjamin Franklin College,18,he/him
3668620334514291,62,Silliman College,18,he/him
6560009387300507,31,Jonathan Edwards College,18,he/him
4098808862319216,46,Morse College,18,he/him
0628815283415808,26,Grace Hopper College,18,he/him
5087118492964238,62,Silliman College,18,she/her
8733465772701200,68,Saybrook College,18,she/her
3583819840020119,51,Pierson College,18,he/him
0374578737465441,46,Morse College,18,she/her
2732719241882070,7,Berkeley College,18,he/him
4154629830097931,31,Jonathan Edwards College,18,he/him
0552135854016888,51,Pierson College,18,she/her
5414020671425651,68,Saybrook College,18,he/him
5673802274638051,6,Benjamin Franklin College,18,he/him
9261233185627571,10,Branford College,18,he/him
8800530156215739,17,Davenport College,18,he/him
3680393861685993,10,Branford College,18,she/her
6543220432046526,51,Pierson College,18,they/them
5721408010025101,31,Jonathan Edwards College,18,he/him
2696724420687392,46,Morse College,18,she/her
7456406315048740,31,Jonathan Edwards College,18,they/them
0285884641082369,22,Ezra Stiles College,18,he/him
4359008944479172,17,Davenport College,18,he/him
1193694450739837,71,Timothy Dwight College,18,he/him
5248090778132767,49,Pauli Murray College,18,ze/zir
7774482327378151,62,Silliman College,18,she/her
6897313252726590,31,Jonathan Edwards College,18,she/her
5321878562122502,26,Grace Hopper College,18,she/her
9578020386075544,10,Branford College,18,she/her
3438949255232863,62,Silliman College,18,he/him
2981883699970777,49,Pauli Murray College,18,he/him
7572260707543018,6,Benjamin Franklin College,18,he/him
8101307854129930,6,Benjamin Franklin College,18,he/him
4339855224418791,6,Benjamin Franklin College,18,she/her
9640509577354818,68,Saybrook College,18,she/her
1297517085513158,51,Pierson College,18,he/him
6600454345502590,31,Jonathan Edwards College,18,he/him
7060420170975307,26,Grace Hopper College,18,she/her
8796958163219540,71,Timothy Dwight College,18,he/him
6597770374365778,31,Jonathan Edwards College,18,they/them
5678918243853481,26,Grace Hopper College,18,he/him
8914049397578907,7,Berkeley College,18,he/him
7861258817744920,71,Timothy Dwight College,18,he/him
7048113450437607,46,Morse College,18,he/him
7802459979755509,7,Berkeley College,18,they/them
5038402696839226,10,Branford College,18,he/him
5549894246405223,68,Saybrook College,18,he/him
7150920157934811,7,Berkeley College,18,he/him
6194753067778259,31,Jonathan Edwards College,18,she/her
1407571740469041,17,Davenport College,18,she/her
9273930374692930,71,Timothy Dwight College,18,he/him
5250953519995177,26,Grace Hopper College,18,he/him
0343427918467723,51,Pierson College,18,he/him
0038525498577367,51,Pierson College,18,she/her
9277035207989133,17,Davenport College,18,he/him
0207332024287267,7,Berkeley College,18,she/her
7921740582971244,31,Jonathan Edwards College,18,he/him
0981419583129930,22,Ezra Stiles College,18,she/her
1768873097782402,22,Ezra Stiles College,18,he/him
9662882111113011,17,Davenport College,18,he/him
8956387592570671,7,Berkeley College,18,he/him
2134113206845726,70,Trumbull College,18,she/her
2916103056308057,49,Pauli Murray College,18,she/her
0635469046436511,26,Grace Hopper College,18,she/her
7271513720113193,17,Davenport College,18,she/her
3465991255122045,70,Trumbull College,18,ze/zir
9378565118374897,71,Timothy Dwight College,18,she/her
3874909853935691,26,Grace Hopper College,18,she/her
9973761626892886,62,Silliman College,18,she/her
9323198353197676,62,Silliman College,18,he/him
1386660301586840,49,Pauli Murray College,18,she/her
4726973294149910,17,Davenport College,18,he/him
5941942477842743,62,Silliman College,18,he/him
5144813501962718,17,Davenport College,18,she/her
4121262033862867,22,Ezra Stiles College,18,she/her
6941426683689185,22,Ezra Stiles College,18,she/her
6763223428719361,62,Silliman College,18,he/him
1437656281493841,70,Trumbull College,18,he/him
7259193829081971,7,Berkeley College,18,he/him
3583899859676863,46,Morse College,18,she/her
8765323377746740,22,Ezra Stiles College,18,she/her
3620448274528773,6,Benjamin Franklin College,18,they/them
2094576168825100,7,Berkeley College,18,she/her
8030594476920553,10,Branford College,18,he/him
8991009262770624,26,Grace Hopper College,18,they/them
2395943853721273,62,Silliman College,18,he/him
1655705859682426,22,Ezra Stiles College,18,they/them
5942583647905582,71,Timothy Dwight College,18,she/her
7585855981923214,7,Berkeley College,18,she/her
9981552486603875,51,Pierson College,18,he/him
6406889164536625,17,Davenport College,18,he/him
7878193325989782,31,Jonathan Edwards College,18,they/them
6203881589522916,26,Grace Hopper College,18,he/him
1866258682391822,49,Pauli Murray College,18,he/him
2935911486685913,10,Branford College,18,she/her
9516238789688063,68,Saybrook College,18,he/him
1663267138602540,46,Morse College,18,he/him
9727322045551901,68,Saybrook College,18,she/her
0042280653679599,68,Saybrook College,18,he/him
7107990019914550,6,Benjamin Franklin College,18,he/him
8956742718947375,68,Saybrook College,18,he/him
5409259140299371,68,Saybrook College,18,she/her
8168367726471212,17,Davenport College,18,he/him
7487497757658761,49,Pauli Murray College,18,he/him
9079670927454995,51,Pierson College,18,she/her
2641377729461294,68,Saybrook College,18,they/them
0152322947547142,26,Grace Hopper College,18,he/him
5121009208878887,62,Silliman College,18,she/her
4533190023483539,7,Berkeley College,18,he/him
6995049013647551,7,Berkeley College,18,she/her
9239267268273779,6,Benjamin Franklin College,18,she/her
6136597531070879,68,Saybrook College,18,she/her
0039467995594998,71,Timothy Dwight College,18,he/him
7678742024472307,6,Benjamin Franklin College,18,he/him
0340624301479489,51,Pierson College,18,she/her
5080449831150716,17,Davenport College,18,he/him
6869441039725583,70,Trumbull College,18,he/him
9658791922119512,26,Grace Hopper College,18,she/her
3655186451507333,70,Trumbull College,18,he/him
9618375038860962,70,Trumbull College,18,she/her
1100786290708263,70,Trumbull College,18,she/her
2928866018940789,31,Jonathan Edwards College,18,she/her
0696741508853844,22,Ezra Stiles College,18,they/them
6812355154249651,46,Morse College,18,he/him
9260688816475733,62,Silliman College,18,he/him
4075406246377748,70,Trumbull College,18,she/her
8081214812551131,49,Pauli Murray College,18,they/them
3701323667831909,6,Benjamin Franklin College,18,he/him
6414496388678601,10,Branford College,18,she/her
8549533045973355,70,Trumbull College,18,she/her
0349837455209776,26,Grace Hopper College,18,he/him
3625361195184875,68,Saybrook College,18,she/her
3871299403156956,51,Pierson College,18,she/her
2727406276996778,26,Grace Hopper College,18,she/her
5302709279416723,51,Pierson College,18,he/him
3164809256888611,51,Pierson College,18,she/her
3883312781685154,68,Saybrook College,18,he/him
6525921567496331,22,Ezra Stiles College,18,she/her
4853568277227485,51,Pierson College,18,she/her
3234575867971237,71,Timothy Dwight College,18,she/her
6874966245633550,46,Morse College,18,she/her
1734439661512912,62,Silliman College,18,she/her
5468867158613499,68,Saybrook College,18,he/him
6777925992814081,68,Saybrook College,18,he/him
5787198672888072,46,Morse College,18,she/her
5797043220595329,22,Ezra Stiles College,18,she/her
9765312078676034,70,Trumbull College,18,she/her
6748451237069609,46,Morse College,18,he/him
9173931181527529,46,Morse College,18,they/them
7103665657433511,6,Benjamin Franklin College,18,she/her
8082904453756204,51,Pierson College,18,she/her
2555369289967870,68,Saybrook College,18,she/her
8075306789799078,62,Silliman College,18,he/him
0292583113447387,31,Jonathan Edwards College,18,she/her
0451914143396248,46,Morse College,18,he/him
8833830477153812,26,Grace Hopper College,18,she/her
3575709033615521,62,Silliman College,18,she/her
9934656775938597,46,Morse College,18,she/her
8087877491550610,68,Saybrook College,18,he/him
4410787962459335,17,Davenport College,18,he/him
0923052194531485,17,Davenport College,18,he/him
1665507350634680,6,Benjamin Franklin College,18,they/them
8771297923345612,68,Saybrook College,18,she/her
1819566899192155,31,Jonathan Edwards College,18,she/her
9556763539806494,70,Trumbull College,18,she/her
3515548847164768,49,Pauli Murray College,18,she/her
8075121468916977,17,Davenport College,18,she/her
0444613252790010,26,Grace Hopper College,18,she/her
5819364701056947,17,Davenport College,18,he/him
6259573363437966,46,Morse College,18,he/him
5035727922638678,62,Silliman College,18,he/him
7595509167547038,6,Benjamin Franklin College,18,they/them
5929377596498197,22,Ezra Stiles College,18,he/him
8511685501814723,7,Berkeley College,18,she/her
4516948782567040,17,Davenport College,18,he/him
4754248989439391,51,Pierson College,18,she/her
7294719170168198,17,Davenport College,18,he/him
3291580247021102,71,Timothy Dwight College,18,he/him
2544586265615300,68,Saybrook College,18,he/him
5625273135179760,6,Benjamin Franklin College,18,she/her
8712353935949775,46,Morse College,18,he/him
5588973041278102,51,Pierson College,18,they/them
3141950540280181,68,Saybrook College,18,she/her
7077460373812144,26,Grace Hopper College,18,she/her
7789072689607116,70,Trumbull College,18,she/her
3122839010313516,71,Timothy Dwight College,18,he/him
7784502928854348,6,Benjamin Franklin College,18,she/her
2329685280581074,22,Ezra Stiles College,18,he/him
1812053063915583,46,Morse College,18,he/him
7591138898183176,70,Trumbull College,18,he/him
5694512084930142,17,Davenport College,18,she/her
0821185786863134,26,Grace Hopper College,18,he/him
2935014570570139,62,Silliman College,18,he/him
3472353446070903,71,Timothy Dwight College,18,she/her
5698237477478562,31,Jonathan Edwards College,18,she/her
1488706423312348,49,Pauli Murray College,18,she/her
0997737099802629,22,Ezra Stiles College,18,he/him
